#         time [microsec]           Re(ampl) [MHz]           Im(ampl) [MHz]
 -4.99750000000000028E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.99250000000000027E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.98750000000000027E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.98250000000000026E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.97750000000000026E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.97250000000000025E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.96750000000000025E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.96250000000000024E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.95750000000000024E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.95250000000000024E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.94750000000000023E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.94250000000000023E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.93750000000000022E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.93250000000000022E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.92750000000000021E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.92250000000000021E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.91750000000000020E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.91250000000000020E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.90750000000000020E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.90250000000000019E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.89750000000000019E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.89250000000000018E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.88750000000000018E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.88250000000000017E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.87750000000000017E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.87250000000000016E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.86750000000000016E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.86250000000000016E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.85750000000000015E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.85250000000000015E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.84750000000000014E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.84250000000000014E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.83750000000000013E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.83250000000000013E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.82750000000000012E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.82250000000000012E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.81750000000000012E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.81250000000000011E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.80750000000000011E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.80250000000000010E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.79750000000000010E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.79250000000000009E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.78750000000000009E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.78250000000000008E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.77750000000000008E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.77250000000000008E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.76750000000000007E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.76250000000000007E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.75750000000000006E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.75250000000000006E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.74750000000000005E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.74250000000000005E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.73750000000000004E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.73250000000000004E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.72750000000000004E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.72250000000000003E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.71750000000000003E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.71250000000000002E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.70750000000000002E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.70250000000000001E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.69750000000000001E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.69250000000000056E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.68750000000000000E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.68250000000000055E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.67749999999999999E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.67250000000000054E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.66749999999999998E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.66250000000000053E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.65749999999999997E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.65250000000000052E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.64749999999999996E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.64250000000000052E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.63749999999999996E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.63250000000000051E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.62750000000000050E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.62250000000000050E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.61750000000000049E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.61250000000000049E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.60750000000000048E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.60250000000000048E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.59750000000000048E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.59250000000000047E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.58750000000000047E-01  1.00000000000000000E+02  0.00000000000000000E+00
 -4.58250000000000046E-01  1.00000000000000000E+02  0.00000000000000000E+00
